year,timestep,availability-wind,availability-solar,demand-demand,market_price
2030,125,0.643221,0.0,0.600411516,82.331
2030,126,0.588424,0.0,0.607376391,83.651
2030,127,0.524516,0.0,0.649037407,95.389
2030,128,0.477521,0.0,0.692860391,113.09
2030,129,0.429088,0.014751111111111112,0.716417046,120.68
2030,130,0.34783,0.04270444444444444,0.718143017,111.14
2030,131,0.222532,0.04624888888888889,0.70337348,96.638
2030,132,0.137669,0.03759888888888888,0.69612658,90.607
2030,133,0.069727,0.01826222222222222,0.691229852,82.592
2030,134,0.02959,0.007676666666666666,0.694312884,77.561
2030,135,0.035257,0.00113,0.705029523,85.058
2030,136,0.04337,0.0,0.73164989,98.331
2030,137,0.039171,0.0,0.791896486,117.46
2030,138,0.078736,0.0,0.793996769,130.2
2030,139,0.225035,0.0,0.781065022,122.49
2030,140,0.269762,0.0,0.757674235,108.36
2030,141,0.266529,0.0,0.728185362,103.51
2030,142,0.310344,0.0,0.695517551,101.75
2030,143,0.332745,0.0,0.666250602,99.914
2030,144,0.310342,0.0,0.638516236,91.66
2030,145,0.233354,0.0,0.598428639,85.15
2030,146,0.120781,0.0,0.581747678,80.595
2030,147,0.035981,0.0,0.570534223,76.784
2030,148,0.011686,0.0,0.562574578,81.055
2030,149,0.046827,0.0,0.553462484,86.953
2030,150,0.155164,0.0,0.546736234,90.585
2030,151,0.330256,0.0,0.574560324,88.866
2030,152,0.506378,0.0,0.607309222,93.276
2030,153,0.607887,0.0005622222222222221,0.627941991,100.83
2030,154,0.651675,0.008262222222222223,0.636468366,105.87
2030,155,0.66393,0.01760888888888889,0.636054686,102.94
2030,156,0.65128,0.03391555555555555,0.640745303,92.803
2030,157,0.613362,0.04318888888888888,0.648768247,88.974
2030,158,0.616997,0.017743333333333333,0.648399505,97.529
2030,159,0.665566,0.003716666666666667,0.661909134,98.341
2030,160,0.760677,0.0,0.687271749,102
2030,161,0.81657,0.0,0.748925675,125.22
2030,162,0.836325,0.0,0.752212734,113.11
2030,163,0.82924,0.0,0.741958182,110.88
2030,164,0.828204,0.0,0.721597042,109.88
2030,165,0.857219,0.0,0.692491776,107.82
2030,166,0.858356,0.0,0.658115578,107
2030,167,0.865201,0.0,0.625926423,104.37
2030,168,0.840844,0.0,0.601965521,97.839
2030,169,0.800584,0.0,0.650087189,88.072
2030,170,0.827117,0.0,0.642385393,84.616
2030,171,0.848258,0.0,0.642754503,84.614
2030,172,0.85217,0.0,0.651565821,90.624
2030,173,0.884978,0.0,0.675310254,102.6
