from_asset,to_asset,commission_year,conversion_coefficient,capacity_coefficient,producer_efficiency
E_hub,electrolyzer_option_10,2030,1.0,1.0,1.0
electrolyzer_option_11,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_11,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_11,2030,1.0,1.0,1.0
electrolyzer_option_12,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_12,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_12,2030,1.0,1.0,1.0
electrolyzer_option_13,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_13,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_13,2030,1.0,1.0,1.0
electrolyzer_option_14,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_14,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_14,2030,1.0,1.0,1.0
electrolyzer_option_15,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_15,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_15,2030,1.0,1.0,1.0
electrolyzer_option_16,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_16,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_16,2030,1.0,1.0,1.0
electrolyzer_option_17,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_17,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_17,2030,1.0,1.0,1.0
electrolyzer_option_18,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_18,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_18,2030,1.0,1.0,1.0
electrolyzer_option_19,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_19,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_19,2030,1.0,1.0,1.0
electrolyzer_option_20,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_20,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_20,2030,1.0,1.0,1.0
electrolyzer_option_21,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_21,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_21,2030,1.0,1.0,1.0
electrolyzer_option_22,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_22,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_22,2030,1.0,1.0,1.0
electrolyzer_option_23,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_23,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_23,2030,1.0,1.0,1.0
electrolyzer_option_24,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_24,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_24,2030,1.0,1.0,1.0
electrolyzer_option_25,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_25,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_25,2030,1.0,1.0,1.0
electrolyzer_option_26,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_26,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_26,2030,1.0,1.0,1.0
electrolyzer_option_27,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_27,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_27,2030,1.0,1.0,1.0
electrolyzer_option_28,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_28,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_28,2030,1.0,1.0,1.0
electrolyzer_option_29,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_29,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_29,2030,1.0,1.0,1.0
electrolyzer_option_30,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_30,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_30,2030,1.0,1.0,1.0
electrolyzer_option_31,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_31,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_31,2030,1.0,1.0,1.0
electrolyzer_option_32,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_32,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_32,2030,1.0,1.0,1.0
electrolyzer_option_33,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_33,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_33,2030,1.0,1.0,1.0
electrolyzer_option_34,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_34,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_34,2030,1.0,1.0,1.0
electrolyzer_option_35,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_35,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_35,2030,1.0,1.0,1.0
electrolyzer_option_36,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_36,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_36,2030,1.0,1.0,1.0
electrolyzer_option_37,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_37,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_37,2030,1.0,1.0,1.0
electrolyzer_option_38,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_38,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_38,2030,1.0,1.0,1.0
electrolyzer_option_39,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_39,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_39,2030,1.0,1.0,1.0
electrolyzer_option_40,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_40,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_40,2030,1.0,1.0,1.0
electrolyzer_option_41,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_41,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_41,2030,1.0,1.0,1.0
electrolyzer_option_42,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_42,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_42,2030,1.0,1.0,1.0
electrolyzer_option_43,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_43,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_43,2030,1.0,1.0,1.0
electrolyzer_option_44,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_44,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_44,2030,1.0,1.0,1.0
electrolyzer_option_45,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_45,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_45,2030,1.0,1.0,1.0
electrolyzer_option_46,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_46,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_46,2030,1.0,1.0,1.0
electrolyzer_option_47,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_47,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_47,2030,1.0,1.0,1.0
electrolyzer_option_48,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_48,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_48,2030,1.0,1.0,1.0
electrolyzer_option_49,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_49,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_49,2030,1.0,1.0,1.0
electrolyzer_option_50,H2_storage,2030,1.0,1.0,1.0
electrolyzer_option_50,H2_hub,2030,1.0,1.0,1.0
E_hub,electrolyzer_option_50,2030,1.0,1.0,1.0
