asset,type,capacity,investment_method,investment_integer,technical_lifetime,economic_lifetime,discount_rate,capacity_storage_energy,storage_method_energy,is_seasonal,unit_commitment,unit_commitment_method,min_operating_point,unit_commitment_integer,ramping,max_ramp_up,max_ramp_down
wind,producer,10,simple,false,15,15,0.072,0,false,false,false,,,false,false,,
solar,producer,10,simple,false,15,15,0.072,0,false,false,false,,,false,false,,
market,producer,1,none,false,0,0,0.0,0,false,false,false,,,false,false,,
battery,storage,10,simple,false,15,15,0.072,40,true,false,false,,,false,false,,
H2_storage,storage,10,simple,false,15,15,0.072,10,true,true,false,,,false,false,,
H2_hub,consumer,1,none,false,0,0,0.0,0,false,false,false,,,false,false,,
E_hub,consumer,1,none,false,0,0,0.0,0,false,false,false,,,false,false,,
electrolyzer,conversion,2,simple,true,15,15,0.072,0,false,false,true,basic,0.1,true,true,0.105,0.105
H2_demand,consumer,1,none,false,0,0,0.0,0,false,false,false,,,false,false,,
